,precision,recall,f1-score,support
1,0.7666666666666667,0.5897435897435898,0.6666666666666667,39.0
2,0.6444444444444445,0.8055555555555556,0.7160493827160493,36.0
3,0.8421052631578947,0.5161290322580645,0.6399999999999999,31.0
4,0.7560975609756098,0.8611111111111112,0.8051948051948052,36.0
5,0.7254901960784313,0.8222222222222222,0.7708333333333334,45.0
6,0.78125,0.7575757575757576,0.7692307692307692,33.0
7,0.6976744186046512,0.8571428571428571,0.7692307692307693,35.0
8,0.7142857142857143,0.5263157894736842,0.6060606060606061,38.0
9,0.6571428571428571,0.7419354838709677,0.6969696969696969,31.0
accuracy,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222
macro avg,0.7316841245951412,0.71974793321709,0.715581781044744,324.0
weighted avg,0.7308209090802303,0.7222222222222222,0.7167788478668108,324.0
